course,specialization,interests,skills,combined,course_spec,career
b.sc,computer applications,cloud computing,python;sql;java,b.sc computer applications cloud computing python;sql;java,b.sc computer applications,web developer
b.e,computer science engineering,technology,"critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills","b.e computer science engineering technology critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills",b.e computer science engineering,software engineer
ba,psychology,understand human behaviour,people management;communication skills,ba psychology understand human behaviour people management;communication skills,ba psychology,psychologist
mba,commerce,sales/marketing;trading;understand human behaviour;home interior design,accounting skills;critical thinking,mba commerce sales/marketing;trading;understand human behaviour;home interior design accounting skills;critical thinking,mba commerce,accountant
b.tech,instrumentation engineering,technology,plc allen bradley;plc ladder logic;labview;business analysis;end-to-end projectmanagement;crossfunctional team leadership;requirements gathering;lean six sigma;lean six sigma blackbelt;productivity improvement,b.tech instrumentation engineering technology plc allen bradley;plc ladder logic;labview;business analysis;end-to-end projectmanagement;crossfunctional team leadership;requirements gathering;lean six sigma;lean six sigma blackbelt;productivity improvement,b.tech instrumentation engineering,automation engineer
b.tech,computer science engineering,technology,"c,c++,html,java","b.tech computer science engineering technology c,c++,html,java",b.tech computer science engineering,software engineer
bms,commerce,"research, sales/marketing","critical thinking, analytic thinking, communication skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, observation skills, reading","bms commerce research, sales/marketing critical thinking, analytic thinking, communication skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, observation skills, reading",bms commerce,accountant
b.tech,computer science engineering,technology,no,b.tech computer science engineering technology no,b.tech computer science engineering,software engineer
b.tech,computer science engineering,technology,programming language skills;critical thinking;linux;python;sql;java,b.tech computer science engineering technology programming language skills;critical thinking;linux;python;sql;java,b.tech computer science engineering,software engineer
b.sc,physics,research;teaching;technology;understand human behaviour;understand human body;content writing;govt. job;service;infrastructure,active listening;critical thinking;gathering information;artistic/creative skills;communication skills;leadership;editing;problem solving skills;writing skills;medical knowledge;hr;good communication skills;teaching,b.sc physics research;teaching;technology;understand human behaviour;understand human body;content writing;govt. job;service;infrastructure active listening;critical thinking;gathering information;artistic/creative skills;communication skills;leadership;editing;problem solving skills;writing skills;medical knowledge;hr;good communication skills;teaching,b.sc physics,research scientist
